eps_xx,sigma_xx_MPa,time,U1_raw
3.07704932e-03,3.20039582e+02,0.660472,3.21818632e-03
3.08869644e-03,3.20392001e+02,0.662972,3.22983344e-03
3.10034356e-03,3.20733707e+02,0.665472,3.24148056e-03
3.11199091e-03,3.21065743e+02,0.667972,3.25312791e-03
3.11490269e-03,3.21147093e+02,0.668597,3.25603969e-03
3.11927036e-03,3.21268235e+02,0.669535,3.26040736e-03
3.12582175e-03,3.21446879e+02,0.670941,3.26695875e-03
3.13564907e-03,3.21709137e+02,0.673050,3.27678607e-03
3.14729619e-03,3.22010984e+02,0.675550,3.28843319e-03
3.15894331e-03,3.22302050e+02,0.678050,3.30008031e-03
3.17059066e-03,3.22581068e+02,0.680550,3.31172766e-03
3.18223778e-03,3.22846294e+02,0.683050,3.32337478e-03
3.19388490e-03,3.23099040e+02,0.685550,3.33502190e-03
3.20553202e-03,3.23340101e+02,0.688050,3.34666902e-03
3.21717914e-03,3.23567958e+02,0.690550,3.35831614e-03
3.22009092e-03,3.24280699e+02,0.691175,3.36122792e-03
3.22300270e-03,3.24558290e+02,0.691800,3.36413970e-03
3.22591448e-03,3.24726358e+02,0.692425,3.36705148e-03
3.22882626e-03,3.24849492e+02,0.693050,3.36996326e-03
3.23319416e-03,3.24991447e+02,0.693988,3.37433117e-03
3.23974555e-03,3.25168596e+02,0.695394,3.38088255e-03
3.24957287e-03,3.25397133e+02,0.697503,3.39070987e-03
3.25940018e-03,3.25601935e+02,0.699613,3.40053719e-03
3.26922750e-03,3.25790929e+02,0.701722,3.41036450e-03
3.27905481e-03,3.25964092e+02,0.703832,3.42019182e-03
3.28888213e-03,3.26122715e+02,0.705941,3.43001913e-03
3.29870921e-03,3.26268475e+02,0.708050,3.43984622e-03
3.30853653e-03,3.26403907e+02,0.710160,3.44967353e-03
3.31836384e-03,3.26522399e+02,0.712269,3.45950085e-03
3.31836384e-03,3.26703172e+02,0.712269,3.45950085e-03
