eps_xx,sigma_xx_MPa,time,U1_raw
2.71402058e-03,1.51420073e+02,0.580063,-4.64821089e-04
2.72571770e-03,1.51835645e+02,0.582563,-4.53123968e-04
2.73741479e-03,1.52250706e+02,0.585063,-4.41426877e-04
2.74911191e-03,1.52665168e+02,0.587563,-4.29729756e-04
2.76080900e-03,1.53079154e+02,0.590062,-4.18032665e-04
2.77250612e-03,1.53492426e+02,0.592562,-4.06335545e-04
2.78420321e-03,1.53904782e+02,0.595062,-3.94638453e-04
2.79590031e-03,1.54316650e+02,0.597562,-3.82941362e-04
2.80759743e-03,1.54727499e+02,0.600062,-3.71244241e-04
2.81929452e-03,1.55137477e+02,0.602562,-3.59547150e-04
2.83099164e-03,1.55546424e+02,0.605062,-3.47850029e-04
2.84268873e-03,1.55954487e+02,0.607562,-3.36152938e-04
2.85438585e-03,1.56361362e+02,0.610062,-3.24455817e-04
2.86608294e-03,1.56767081e+02,0.612562,-3.12758726e-04
2.87778003e-03,1.57171918e+02,0.615062,-3.01061635e-04
2.88947715e-03,1.57575271e+02,0.617562,-2.89364514e-04
2.90117424e-03,1.57977242e+02,0.620062,-2.77667423e-04
2.91287136e-03,1.58377742e+02,0.622563,-2.65970302e-04
2.92456846e-03,1.58776361e+02,0.625063,-2.54273211e-04
2.93626556e-03,1.59173214e+02,0.627563,-2.42576105e-04
2.94796267e-03,1.59568188e+02,0.630063,-2.30878999e-04
2.95965977e-03,1.59961281e+02,0.632563,-2.19181893e-04
2.97135688e-03,1.60352484e+02,0.635063,-2.07484787e-04
2.98305399e-03,1.60741806e+02,0.637563,-1.95787681e-04
2.99475109e-03,1.61129102e+02,0.640063,-1.84090575e-04
3.00644820e-03,1.61514281e+02,0.642563,-1.72393469e-04
3.01814530e-03,1.61897455e+02,0.645063,-1.60696363e-04
3.02984240e-03,1.62278556e+02,0.647563,-1.48999272e-04
3.04153950e-03,1.62657495e+02,0.650063,-1.37302166e-04
3.05323661e-03,1.63033965e+02,0.652562,-1.25605060e-04
3.06493371e-03,1.63408012e+02,0.655062,-1.13907954e-04
3.07663082e-03,1.63779274e+02,0.657562,-1.02210848e-04
3.08832793e-03,1.64147840e+02,0.660062,-9.05137422e-05
3.10002502e-03,1.64513813e+02,0.662562,-7.88166435e-05
3.11172213e-03,1.64876933e+02,0.665062,-6.71195376e-05
3.12341924e-03,1.65237063e+02,0.667562,-5.54224316e-05
3.13511634e-03,1.65594169e+02,0.670062,-4.37253293e-05
3.14681344e-03,1.65948094e+02,0.672562,-3.20282234e-05
3.15851055e-03,1.66298667e+02,0.675062,-2.03311192e-05
3.17020765e-03,1.66646012e+02,0.677562,-8.63401601e-06
3.18190476e-03,1.66989802e+02,0.680062,3.06308834e-06
3.19360186e-03,1.67330014e+02,0.682562,1.47601922e-05
3.20529896e-03,1.67666896e+02,0.685063,2.64572973e-05
3.21699607e-03,1.68000053e+02,0.687563,3.81544014e-05
3.22869317e-03,1.68329767e+02,0.690063,4.98515037e-05
3.24039027e-03,1.68656006e+02,0.692563,6.15486060e-05
3.25208738e-03,1.68978541e+02,0.695063,7.32457120e-05
3.26378449e-03,1.69297633e+02,0.697563,8.49428179e-05
3.27548159e-03,1.69613080e+02,0.700063,9.66399239e-05
3.28717870e-03,1.69925084e+02,0.702563,1.08337030e-04
3.29887580e-03,1.70233487e+02,0.705063,1.20034128e-04
3.31057291e-03,1.70538425e+02,0.707563,1.31731242e-04
3.32227000e-03,1.70839819e+02,0.710063,1.43428333e-04
3.33396711e-03,1.71137634e+02,0.712563,1.55125439e-04
3.34566421e-03,1.71431701e+02,0.715062,1.66822545e-04
3.35736132e-03,1.71722269e+02,0.717562,1.78519651e-04
3.36905842e-03,1.72009146e+02,0.720062,1.90216757e-04
3.38075553e-03,1.72292150e+02,0.722562,2.01913863e-04
3.39245264e-03,1.72571541e+02,0.725062,2.13610969e-04
3.40414974e-03,1.72847015e+02,0.727562,2.25308075e-04
3.41584683e-03,1.73118321e+02,0.730062,2.37005166e-04
3.42169539e-03,1.73285347e+02,0.731313,2.42853726e-04
3.42461967e-03,1.73355158e+02,0.731938,2.45778007e-04
3.42900609e-03,1.73456415e+02,0.732875,2.50164419e-04
3.43229590e-03,1.73530744e+02,0.733578,2.53454229e-04
3.43558571e-03,1.73604870e+02,0.734281,2.56744039e-04
3.43887552e-03,1.73677648e+02,0.734984,2.60033848e-04
3.44381022e-03,1.73786730e+02,0.736039,2.64968548e-04
3.45121231e-03,1.73949396e+02,0.737621,2.72370642e-04
3.46231542e-03,1.74190920e+02,0.739994,2.83473753e-04
3.47401251e-03,1.74441301e+02,0.742494,2.95170845e-04
3.48570963e-03,1.74686721e+02,0.744994,3.06867965e-04
3.49740672e-03,1.74927883e+02,0.747494,3.18565057e-04
3.50910384e-03,1.75164369e+02,0.749994,3.30262177e-04
3.52080094e-03,1.75396144e+02,0.752494,3.41959269e-04
3.52372520e-03,1.75452695e+02,0.753119,3.44883534e-04
3.52811161e-03,1.75537306e+02,0.754057,3.49269947e-04
3.53469123e-03,1.75663317e+02,0.755463,3.55849566e-04
3.54456069e-03,1.75850092e+02,0.757572,3.65719025e-04
3.55625778e-03,1.76067621e+02,0.760072,3.77416116e-04
3.56795487e-03,1.76280180e+02,0.762572,3.89113207e-04
3.57965200e-03,1.76487881e+02,0.765072,4.00810328e-04
3.59134909e-03,1.76690791e+02,0.767572,4.12507419e-04
3.60304621e-03,1.76888301e+02,0.770072,4.24204540e-04
3.60597047e-03,1.77066378e+02,0.770697,4.27128805e-04
3.60889474e-03,1.77187566e+02,0.771322,4.30053071e-04
3.61328115e-03,1.77323145e+02,0.772260,4.34439484e-04
3.61986080e-03,1.77481089e+02,0.773666,4.41019132e-04
3.62973023e-03,1.77672348e+02,0.775775,4.50888561e-04
3.63219756e-03,1.77970876e+02,0.776303,4.53355897e-04
3.63466493e-03,1.78193593e+02,0.776830,4.55823261e-04
3.63713229e-03,1.78384421e+02,0.777357,4.58290626e-04
3.63959966e-03,1.78553134e+02,0.777885,4.60757990e-04
3.64206702e-03,1.78708020e+02,0.778412,4.63225355e-04
3.64576804e-03,1.78919073e+02,0.779203,4.66926373e-04
3.65131960e-03,1.79205372e+02,0.780390,4.72477928e-04
3.65964693e-03,1.79578977e+02,0.782169,4.80805262e-04
3.67134402e-03,1.80044373e+02,0.784669,4.92502353e-04
3.68304114e-03,1.80463013e+02,0.787169,5.04199474e-04
3.69473826e-03,1.80840435e+02,0.789669,5.15896594e-04
3.69766250e-03,1.80930765e+02,0.790294,5.18820831e-04
3.70204891e-03,1.81060875e+02,0.791232,5.23207244e-04
3.70862853e-03,1.81246120e+02,0.792638,5.29786863e-04
3.71356326e-03,1.81379016e+02,0.793693,5.34721592e-04
3.72096535e-03,1.81567014e+02,0.795275,5.42123686e-04
3.72374110e-03,1.81635364e+02,0.795868,5.44899434e-04
3.72790481e-03,1.81734515e+02,0.796758,5.49063145e-04
3.73415032e-03,1.81876549e+02,0.798093,5.55308652e-04
3.74351855e-03,1.82075542e+02,0.800095,5.64676884e-04
3.74586059e-03,1.82334279e+02,0.800596,5.67018928e-04
3.74820264e-03,1.82576177e+02,0.801096,5.69360971e-04
3.75054474e-03,1.82796742e+02,0.801597,5.71703073e-04
3.75405781e-03,1.83095271e+02,0.802348,5.75216138e-04
3.75932746e-03,1.83497729e+02,0.803474,5.80485794e-04
3.76723194e-03,1.84033853e+02,0.805163,5.88390278e-04
