eps_xx,sigma_xx_MPa,time,U1_raw
3.19761871e-03,2.62889273e+02,0.663938,3.18147452e-03
3.20965908e-03,2.62512712e+02,0.666438,3.19351489e-03
3.22169945e-03,2.62137261e+02,0.668938,3.20555526e-03
3.23373982e-03,2.61763485e+02,0.671438,3.21759563e-03
3.24578019e-03,2.61391046e+02,0.673937,3.22963600e-03
3.25782056e-03,2.61020397e+02,0.676437,3.24167637e-03
3.26986093e-03,2.60651513e+02,0.678937,3.25371674e-03
3.28190130e-03,2.60284215e+02,0.681437,3.26575711e-03
3.29394167e-03,2.59918729e+02,0.683937,3.27779748e-03
3.30598205e-03,2.59555122e+02,0.686437,3.28983786e-03
3.31802242e-03,2.59193305e+02,0.688937,3.30187823e-03
3.33006279e-03,2.58833390e+02,0.691437,3.31391860e-03
3.34210316e-03,2.58475717e+02,0.693937,3.32595897e-03
3.35414353e-03,2.58119426e+02,0.696437,3.33799934e-03
3.36618367e-03,2.57764992e+02,0.698937,3.35003948e-03
3.37822404e-03,2.57412528e+02,0.701437,3.36207985e-03
3.39026441e-03,2.57061740e+02,0.703937,3.37412022e-03
3.40230478e-03,2.56712990e+02,0.706438,3.38616059e-03
3.41434515e-03,2.56366483e+02,0.708938,3.39820096e-03
3.42638552e-03,2.56021560e+02,0.711438,3.41024133e-03
3.43842589e-03,2.55678994e+02,0.713938,3.42228170e-03
3.45046627e-03,2.55338873e+02,0.716438,3.43432208e-03
3.46250664e-03,2.55000677e+02,0.718938,3.44636245e-03
3.47454701e-03,2.54665131e+02,0.721438,3.45840282e-03
3.48658738e-03,2.54331419e+02,0.723938,3.47044319e-03
3.49862775e-03,2.54000130e+02,0.726438,3.48248356e-03
3.51066812e-03,2.53671401e+02,0.728938,3.49452393e-03
3.52270849e-03,2.53345005e+02,0.731438,3.50656430e-03
3.53474886e-03,2.53021371e+02,0.733938,3.51860467e-03
3.54678923e-03,2.52700229e+02,0.736437,3.53064504e-03
3.55882961e-03,2.52381963e+02,0.738937,3.54268542e-03
3.57086998e-03,2.52066324e+02,0.741437,3.55472579e-03
3.58291035e-03,2.51753402e+02,0.743937,3.56676616e-03
3.59495072e-03,2.51443425e+02,0.746437,3.57880653e-03
3.60699109e-03,2.51136483e+02,0.748937,3.59084690e-03
3.61903146e-03,2.50832644e+02,0.751437,3.60288727e-03
3.63107160e-03,2.50531861e+02,0.753937,3.61492741e-03
3.64311197e-03,2.50234295e+02,0.756437,3.62696778e-03
3.65515234e-03,2.49939764e+02,0.758937,3.63900815e-03
3.66719271e-03,2.49648290e+02,0.761437,3.65104852e-03
3.67923308e-03,2.49360190e+02,0.763937,3.66308889e-03
3.69127345e-03,2.49075193e+02,0.766437,3.67512926e-03
3.70331383e-03,2.48793412e+02,0.768938,3.68716964e-03
3.71535420e-03,2.48515074e+02,0.771438,3.69921001e-03
3.72739457e-03,2.48240291e+02,0.773938,3.71125038e-03
3.73943494e-03,2.47968974e+02,0.776438,3.72329075e-03
3.75147531e-03,2.47701076e+02,0.778938,3.73533112e-03
3.76351568e-03,2.47436779e+02,0.781438,3.74737149e-03
3.77555605e-03,2.47176037e+02,0.783938,3.75941186e-03
3.78759642e-03,2.46919237e+02,0.786438,3.77145223e-03
3.79963679e-03,2.46666286e+02,0.788938,3.78349260e-03
3.81167716e-03,2.46417548e+02,0.791438,3.79553298e-03
3.82371754e-03,2.46172977e+02,0.793938,3.80757335e-03
3.83575791e-03,2.45933026e+02,0.796438,3.81961372e-03
3.84779828e-03,2.45697424e+02,0.798937,3.83165409e-03
3.85983865e-03,2.45466442e+02,0.801437,3.84369446e-03
3.87187902e-03,2.45239785e+02,0.803937,3.85573483e-03
3.88391939e-03,2.45017726e+02,0.806437,3.86777520e-03
3.89595953e-03,2.44800105e+02,0.808937,3.87981534e-03
3.90799990e-03,2.44587037e+02,0.811437,3.89185571e-03
3.92004027e-03,2.44378498e+02,0.813937,3.90389608e-03
3.93208088e-03,2.44173923e+02,0.816437,3.91593669e-03
3.94412101e-03,2.43973447e+02,0.818937,3.92797682e-03
3.95616162e-03,2.43777364e+02,0.821437,3.94001743e-03
3.96820176e-03,2.43585132e+02,0.823937,3.95205757e-03
3.98024236e-03,2.43397089e+02,0.826437,3.96409817e-03
3.99228250e-03,2.43213214e+02,0.828937,3.97613831e-03
4.00432310e-03,2.43033007e+02,0.831438,3.98817891e-03
4.01636324e-03,2.42856515e+02,0.833938,4.00021905e-03
4.02840338e-03,2.42683918e+02,0.836438,4.01225919e-03
4.04044398e-03,2.42514899e+02,0.838938,4.02429979e-03
4.05248412e-03,2.42349730e+02,0.841438,4.03633993e-03
4.06452472e-03,2.42188502e+02,0.843938,4.04838054e-03
4.07656486e-03,2.42030966e+02,0.846438,4.06042067e-03
4.08860547e-03,2.41877053e+02,0.848938,4.07246128e-03
4.10064560e-03,2.41726855e+02,0.851438,4.08450142e-03
4.11268621e-03,2.41580076e+02,0.853938,4.09654202e-03
4.12472635e-03,2.41436943e+02,0.856438,4.10858216e-03
4.13676695e-03,2.41297548e+02,0.858938,4.12062276e-03
4.14880709e-03,2.41161549e+02,0.861437,4.13266290e-03
4.16084769e-03,2.41029152e+02,0.863937,4.14470350e-03
4.17288783e-03,2.40900559e+02,0.866437,4.15674364e-03
4.18492844e-03,2.40775476e+02,0.868937,4.16878425e-03
4.19696857e-03,2.40654017e+02,0.871437,4.18082438e-03
4.20900918e-03,2.40536363e+02,0.873937,4.19286499e-03
4.22104932e-03,2.40422220e+02,0.876437,4.20490513e-03
4.23308992e-03,2.40311632e+02,0.878937,4.21694573e-03
4.24513006e-03,2.40204599e+02,0.881437,4.22898587e-03
4.25717066e-03,2.40101055e+02,0.883937,4.24102647e-03
4.26921080e-03,2.40000522e+02,0.886437,4.25306661e-03
4.28125140e-03,2.39903002e+02,0.888937,4.26510721e-03
4.29329154e-03,2.39808448e+02,0.891437,4.27714735e-03
4.30533168e-03,2.39716794e+02,0.893938,4.28918749e-03
4.31737228e-03,2.39627698e+02,0.896438,4.30122809e-03
4.32941242e-03,2.39540981e+02,0.898938,4.31326823e-03
4.34145303e-03,2.39456573e+02,0.901438,4.32530884e-03
4.35349316e-03,2.39374499e+02,0.903938,4.33734898e-03
4.36553377e-03,2.39294734e+02,0.906438,4.34938958e-03
4.37757391e-03,2.39217211e+02,0.908938,4.36142972e-03
4.38961451e-03,2.39141931e+02,0.911438,4.37347032e-03
4.40165465e-03,2.39068779e+02,0.913938,4.38551046e-03
4.41369525e-03,2.38997802e+02,0.916438,4.39755106e-03
4.42573539e-03,2.38928795e+02,0.918938,4.40959120e-03
4.43777600e-03,2.38861645e+02,0.921438,4.42163181e-03
4.44981613e-03,2.38796307e+02,0.923937,4.43367194e-03
4.46185674e-03,2.38732758e+02,0.926437,4.44571255e-03
4.47389688e-03,2.38670952e+02,0.928937,4.45775269e-03
4.48593748e-03,2.38610846e+02,0.931437,4.46979329e-03
4.49797762e-03,2.38552030e+02,0.933937,4.48183343e-03
4.51001822e-03,2.38494392e+02,0.936437,4.49387403e-03
4.52205836e-03,2.38437886e+02,0.938937,4.50591417e-03
4.53409896e-03,2.38382558e+02,0.941437,4.51795477e-03
4.54613910e-03,2.38328318e+02,0.943937,4.52999491e-03
4.55817924e-03,2.38275073e+02,0.946437,4.54203505e-03
4.57021984e-03,2.38222735e+02,0.948937,4.55407565e-03
4.58225998e-03,2.38171325e+02,0.951437,4.56611579e-03
4.59430059e-03,2.38120843e+02,0.953937,4.57815640e-03
4.60634072e-03,2.38071155e+02,0.956438,4.59019653e-03
4.61838133e-03,2.38022417e+02,0.958938,4.60223714e-03
4.63042147e-03,2.37974653e+02,0.961438,4.61427728e-03
4.64246207e-03,2.37927750e+02,0.963938,4.62631788e-03
4.65450221e-03,2.37881889e+02,0.966438,4.63835802e-03
4.66654281e-03,2.37837024e+02,0.968938,4.65039862e-03
4.67858295e-03,2.37793020e+02,0.971438,4.66243876e-03
4.69062355e-03,2.37749990e+02,0.973938,4.67447937e-03
4.70266369e-03,2.37707888e+02,0.976438,4.68651950e-03
4.71470430e-03,2.37666669e+02,0.978938,4.69856011e-03
4.72674444e-03,2.37626334e+02,0.981438,4.71060025e-03
4.73878504e-03,2.37586791e+02,0.983938,4.72264085e-03
4.75082518e-03,2.37548087e+02,0.986437,4.73468099e-03
4.76286578e-03,2.37510220e+02,0.988937,4.74672159e-03
4.77490592e-03,2.37473214e+02,0.991437,4.75876173e-03
4.78694652e-03,2.37437000e+02,0.993937,4.77080233e-03
4.79898666e-03,2.37401580e+02,0.996437,4.78284247e-03
4.81102727e-03,2.37367065e+02,0.998937,4.79488308e-03
4.81614442e-03,2.37351936e+02,1.000000,4.80000023e-03
