kind,step,phase,item,value,x,y,z,basis,verdict
phase,Tension_at_23C,YARN1,modefrac_24_yarn_trans_compression,0.00476378,,,,"DMODE 24 = yarn_trans_compression, volume-weighted",distributed
phase,Tension_at_23C,YARN2,volume_mm3,0.671881,,,,sum of IVOL over the phase,saturated
phase,Tension_at_23C,YARN2,damg_mean,0.68604,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN2,damg_p50,0.802556,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN2,damg_p90,0.899999,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN2,damg_p99,0.9,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN2,damg_max,0.976418,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN2,volfrac_damg_ge_0.01,0.90049,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN2,volfrac_damg_ge_0.10,0.89597,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN2,volfrac_damg_ge_0.50,0.801033,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN2,volfrac_damg_ge_0.90,0.00149409,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN2,modefrac_23_yarn_trans_tension,0.996513,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",saturated
phase,Tension_at_23C,YARN2,modefrac_24_yarn_trans_compression,0.00348708,,,,"DMODE 24 = yarn_trans_compression, volume-weighted",saturated
phase,Tension_at_23C,YARN3,volume_mm3,0.670832,,,,sum of IVOL over the phase,saturated
phase,Tension_at_23C,YARN3,damg_mean,0.667361,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN3,damg_p50,0.775947,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN3,damg_p90,0.899999,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN3,damg_p99,0.9,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN3,damg_max,0.963714,,,,max of DY1/DYT,saturated
phase,Tension_at_23C,YARN3,volfrac_damg_ge_0.01,0.899802,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN3,volfrac_damg_ge_0.10,0.896083,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN3,volfrac_damg_ge_0.50,0.775708,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN3,volfrac_damg_ge_0.90,0.00179627,,,,"max of DY1/DYT, volume-weighted",saturated
phase,Tension_at_23C,YARN3,modefrac_23_yarn_trans_tension,0.995896,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",saturated
phase,Tension_at_23C,YARN3,modefrac_24_yarn_trans_compression,0.00410407,,,,"DMODE 24 = yarn_trans_compression, volume-weighted",saturated
hotspot,Tension_at_23C,YARN2,rank1_element18070,0.976418,0.37657,0.614829,0.155187,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN2,rank2_element11324,0.966642,-0.489404,0.530857,0.139652,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN3,rank3_element7497,0.963714,2.21813,-0.619167,0.207448,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank4_element7493,0.962123,2.2025,-0.598333,0.133217,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank5_element6265,0.96189,1.29752,-0.598333,0.133215,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank6_element396,0.960579,0.435425,2.34645,0.130883,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank7_element12861,0.960516,-0.546741,0.528343,0.251094,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank8_element11830,0.953739,-0.457761,1.16976,0.147808,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN3,rank9_element23880,0.952231,1.32422,1.16059,0.14839,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN3,rank10_element24216,0.951202,1.28025,0.60384,0.241121,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank11_element18102,0.949965,0.461335,0.586277,0.265905,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN2,rank12_element18098,0.946909,0.451606,0.61313,0.186951,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN3,rank13_element6269,0.946779,1.2819,-0.619167,0.207448,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank14_element6424,0.944472,2.21183,0.588323,0.146173,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank15_element3614,0.944185,-0.550512,1.21863,0.115565,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank16_element578,0.942117,-0.457648,0.579999,0.252196,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN1,rank17_element5721,0.940377,-0.517841,2.26453,0.138184,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN2,rank18_element11834,0.940296,-0.457761,1.16976,0.212157,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN0,rank19_element10744,0.939329,2.32124,-0.508851,0.11738,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank20_element24211,0.939005,1.27986,0.567696,0.135157,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank21_element6423,0.936268,2.1899,0.583537,0.121044,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN1,rank22_element10880,0.935228,1.29764,2.33512,0.267008,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank23_element4639,0.931223,-0.452484,2.33295,0.132958,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank24_element2494,0.9308,-0.327484,2.35899,0.118348,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN1,rank25_element18961,0.929667,0.431251,1.15749,0.116488,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN3,rank26_element2689,0.928843,2.27691,2.25085,0.134362,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank27_element2237,0.926317,-0.452484,-0.598333,0.266819,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN0,rank28_element3607,0.923778,-0.558387,-0.572291,0.252106,DMODE 24 = yarn_trans_compression,softening
hotspot,Tension_at_23C,YARN1,rank29_element11829,0.91786,-0.431788,1.18265,0.119953,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,YARN0,rank30_element21430,0.911542,1.38947,0.603455,0.122276,DMODE 23 = yarn_trans_tension,softening
hotspot,Tension_at_23C,ALL,elements_at_cap,0,,,,"DAMG >= 0.9900, the card's DMAX",single_point
profile,Tension_at_23C,ALL,x_000_010pct,0.400665,,,,"volume-weighted mean DAMG, x in [-0.8653, -0.5173] mm",uniform
profile,Tension_at_23C,ALL,x_010_020pct,0.625241,,,,"volume-weighted mean DAMG, x in [-0.5173, -0.1692] mm",uniform
profile,Tension_at_23C,ALL,x_020_030pct,0.623181,,,,"volume-weighted mean DAMG, x in [-0.1692, 0.1789] mm",uniform
profile,Tension_at_23C,ALL,x_030_040pct,0.628062,,,,"volume-weighted mean DAMG, x in [0.1789, 0.527] mm",uniform
profile,Tension_at_23C,ALL,x_040_050pct,0.373256,,,,"volume-weighted mean DAMG, x in [0.527, 0.8751] mm",uniform
profile,Tension_at_23C,ALL,x_050_060pct,0.390065,,,,"volume-weighted mean DAMG, x in [0.8751, 1.223] mm",uniform
profile,Tension_at_23C,ALL,x_060_070pct,0.613435,,,,"volume-weighted mean DAMG, x in [1.223, 1.571] mm",uniform
profile,Tension_at_23C,ALL,x_070_080pct,0.58693,,,,"volume-weighted mean DAMG, x in [1.571, 1.919] mm",uniform
profile,Tension_at_23C,ALL,x_080_090pct,0.582325,,,,"volume-weighted mean DAMG, x in [1.919, 2.267] mm",uniform
profile,Tension_at_23C,ALL,x_090_100pct,0.388407,,,,"volume-weighted mean DAMG, x in [2.267, 2.615] mm",uniform
